MLS,Location,Price,Bedrooms,Bathrooms,Size,Status
152139,Santa Maria-Orcutt,309000,3,2,1906,Short Sale
152152,Santa Maria-Orcutt,315000,3,2,2004,Short Sale
152154,Santa Maria-Orcutt,191100,3,1,1200,Foreclosure
152163,Cambria,699900,5,3,1818,Foreclosure
152190,Nipomo,189500,2,2,1040,Short Sale
152191,Santa Maria-Orcutt,199000,4,2,1400,Short Sale
152196,Santa Maria-Orcutt,359000,4,3,2209,Short Sale
152203,Atascadero,264450,3,1,1030,Short Sale
152213,Templeton,459000,3,2,1999,Short Sale
152227,Santa Maria-Orcutt,150000,3,2,1316,Short Sale
152228,Pismo Beach,875000,3,3,2200,Short Sale
152233,Pismo Beach,599000,2,2,1200,Short Sale
152263,Atascadero,250000,3,3,1261,Short Sale
152265,Lompoc,165000,3,2,1120,Short Sale
152272,Santa Maria-Orcutt,229900,4,3,1857,Short Sale
152277,Santa Maria-Orcutt,229900,3,2,1400,Short Sale
152291,Paso Robles,269900,3,2,1139,Short Sale
152298,Santa Maria-Orcutt,245000,5,3,6098,Short Sale
152320,Santa Maria-Orcutt,165000,3,2,1300,Short Sale
152326,Lompoc,429000,3,3,2041,Short Sale
152340,Santa Maria-Orcutt,309900,4,3,2248,Short Sale
152351,Arroyo Grande,265000,2,1,972,Foreclosure
152359,Santa Maria-Orcutt,169900,4,2,1500,Short Sale
152360,Santa Maria-Orcutt,380900,3,2,2000,Short Sale
152384,Santa Maria-Orcutt,315000,4,3,1939,Short Sale
152393,Lompoc,260000,3,2,1413,Short Sale
152395,Santa Maria-Orcutt,119900,3,2,1312,Short Sale
152396,Santa Maria-Orcutt,211500,3,2,1275,Foreclosure
152401,Santa Maria-Orcutt,149000,2,1,854,Short Sale
152405,San Luis Obispo,890000,3,3,3474,Short Sale
152410,Cambria,289900,3,2,1380,Foreclosure
152459,Santa Maria-Orcutt,289000,4,3,2100,Short Sale
152487,Oceano,399900,3,2,1487,Short Sale
152491,Santa Maria-Orcutt,125000,3,2,900,Short Sale
152496,Nipomo,359900,5,3,3036,Short Sale
152515,Santa Maria-Orcutt,239000,3,3,1800,Short Sale
152525,Santa Maria-Orcutt,199900,3,3,1600,Short Sale
152533,Santa Maria-Orcutt,179900,4,3,2150,Short Sale
152565,Santa Maria-Orcutt,195000,3,2,1300,Short Sale
152570,San Luis Obispo,299000,2,2,896,Foreclosure
152581,Santa Maria-Orcutt,265000,2,3,1700,Short Sale
152586,Nipomo,699000,3,2,1700,Foreclosure
152597,Grover Beach,275000,2,2,1194,Short Sale
152617,Paso Robles,169990,3,2,1465,Foreclosure
152619,Santa Maria-Orcutt,189000,3,3,1530,Short Sale
152638,Santa Ynez,695000,4,2,2032,Foreclosure
152670,Santa Maria-Orcutt,105000,2,2,1088,Short Sale
152675,Santa Maria-Orcutt,365000,4,4,4000,Short Sale
152677,Paso Robles,335900,3,3,1296,Foreclosure
152683,Lompoc,170000,3,2,944,Short Sale
152705,Santa Maria-Orcutt,339900,4,2,2100,Short Sale
152716,Santa Maria-Orcutt,359900,3,3,2340,Short Sale
152718,Santa Maria-Orcutt,143000,3,2,1080,Short Sale
152720,Santa Maria-Orcutt,199000,3,2,1196,Short Sale
152727,San Luis Obispo,374800,3,3,1365,Short Sale
152757,Los Osos,499000,3,2,2120,Short Sale
152764,Atascadero,138900,2,1,1055,Foreclosure
152768,Avila Beach,1999000,4,5,5307,Short Sale
152771,Paso Robles,359000,3,2,1774,Short Sale
152772,Santa Maria-Orcutt,294900,4,2,1856,Short Sale
152773,Atascadero,299500,4,2,1836,Foreclosure
152778,Santa Maria-Orcutt,427900,4,3,2367,Short Sale
152781,Nipomo,269000,3,2,1181,Short Sale
152784,Bradley,449000,3,3,2563,Short Sale
152792,Santa Maria-Orcutt,144900,2,2,1130,Foreclosure
152794,Santa Maria-Orcutt,345000,3,3,2020,Short Sale
152800,Paso Robles,239000,4,2,1240,Short Sale
152805,Los Osos,310000,2,1,780,Short Sale
152806,Santa Maria-Orcutt,225000,3,3,1800,Short Sale
152809,Paso Robles,695000,5,6,3750,Short Sale
152820,Nipomo,242500,3,3,1650,Short Sale
152844,Arroyo Grande,249250,2,1,728,Short Sale
152849,Grover Beach,479000,3,2,1462,Short Sale
152854,Lompoc,169900,3,2,1150,Foreclosure
152856,Santa Maria-Orcutt,219900,3,3,1660,Short Sale
152887,Paso Robles,150000,2,2,1440,Short Sale
152888,Nipomo,649000,4,2,1814,Foreclosure
152890,Santa Maria-Orcutt,285000,4,3,2100,Short Sale
152893,Paso Robles,163999,3,2,1488,Short Sale
152897,Nipomo,349000,4,2,1718,Short Sale
152900,Buellton,409900,3,2,1716,Foreclosure
152906,Los Osos,275000,3,2,1320,Short Sale
152912,Santa Maria-Orcutt,179900,3,2,1200,Foreclosure
152914,Oceano,789000,3,3,2218,Short Sale
152937,Santa Maria-Orcutt,299000,4,3,1768,Short Sale
152948,Arroyo Grande,850000,5,4,3588,Foreclosure
152964,Santa Maria-Orcutt,295900,3,2,1776,Short Sale
152967,Santa Maria-Orcutt,199000,4,3,1467,Short Sale
152969,Santa Maria-Orcutt,199900,3,3,1950,Short Sale
152978,Santa Maria-Orcutt,179900,3,2,1288,Foreclosure
152987,Atascadero,290000,3,3,1733,Short Sale
152989,Santa Maria-Orcutt,168000,3,2,1128,Short Sale
152998,Santa Maria-Orcutt,270000,3,3,1900,Short Sale
152999,Los Osos,1249000,6,7,5103,Foreclosure
153000,Santa Maria-Orcutt,240000,3,2,1255,Short Sale
153014,Coalinga,219500,5,2,1802,Short Sale
153032,Santa Maria-Orcutt,235000,4,3,2336,Short Sale
153036,San Luis Obispo,239800,2,2,1190,Foreclosure
153042,Santa Maria-Orcutt,269000,3,3,1800,Short Sale
153047,Paso Robles,319200,4,3,2006,Foreclosure
153052,Paso Robles,402500,3,2,2446,Foreclosure
153068,Paso Robles,425000,3,2,2114,Short Sale
153084,Atascadero,669000,3,3,2600,Short Sale
153085,Atascadero,369000,3,2,1514,Short Sale
153088,Paso Robles,239900,3,2,1080,Foreclosure
153095,Grover Beach,249500,2,2,1088,Short Sale
153116,Solvang,557000,4,2,1809,Short Sale
153119,Santa Maria-Orcutt,339900,6,3,2053,Foreclosure
153127,Nipomo,149900,2,2,969,Short Sale
153133,Arroyo Grande,849900,3,4,3375,Short Sale
153134,Lompoc,307000,3,2,1594,Foreclosure
153157,Santa Maria-Orcutt,259000,4,3,1900,Short Sale
153160,Santa Maria-Orcutt,165000,3,2,1050,Short Sale
153168,Santa Maria-Orcutt,289900,3,2,1414,Foreclosure
153175,Nipomo,879000,3,4,3698,Short Sale
153179,Santa Maria-Orcutt,220000,3,2,1200,Short Sale
153185,Atascadero,309000,3,3,1685,Short Sale
153197,Paso Robles,580000,3,3,2271,Short Sale
153207,Santa Maria-Orcutt,459900,2,2,1150,Short Sale
153214,Santa Maria-Orcutt,299000,5,3,2481,Short Sale
153230,Santa Maria-Orcutt,309900,4,3,1600,Short Sale
153234,Paso Robles,287000,3,2,1269,Short Sale
153259,Grover Beach,310000,3,2,1200,Short Sale
153264,Atascadero,229900,3,2,1198,Foreclosure
153268,Buellton,377000,3,2,1363,Foreclosure
153276,Lompoc,295000,4,2,1973,Short Sale
153288,Santa Maria-Orcutt,225000,3,2,1516,Short Sale
153294,Santa Maria-Orcutt,130000,3,2,1080,Short Sale
153314,Santa Maria-Orcutt,169990,2,1,920,Short Sale
153327,Santa Maria-Orcutt,145000,3,2,1027,Foreclosure
153343,Greenfield,184800,4,2,2018,Foreclosure
153370,Santa Maria-Orcutt,189900,3,2,1253,Foreclosure
153371,Santa Maria-Orcutt,249000,3,2,1062,Short Sale
153377,Santa Maria-Orcutt,185000,4,2,1934,Short Sale
153382,Atascadero,145000,2,2,1041,Short Sale
153384,Paso Robles,429000,5,3,2700,Foreclosure
153406,Arroyo Grande,419000,2,2,1587,Short Sale
153411,Santa Maria-Orcutt,245000,3,3,1859,Short Sale
153425,Santa Maria-Orcutt,289900,4,3,2400,Short Sale
153428,Santa Maria-Orcutt,175000,3,2,1110,Short Sale
153432,Santa Maria-Orcutt,139000,3,2,1075,Short Sale
153442,Arroyo Grande,514900,4,3,2035,Foreclosure
153447,Pismo Beach,549000,3,2,1858,Short Sale
153464,Atascadero,235000,3,3,1261,Short Sale
